service,use_case,run_id,valid,vus,iterations,http_reqs,checks_passes,checks_fails,application_ram_avg,application_ram_median,application_cpu_avg,application_cpu_median,application_energy,database_ram_avg,database_ram_median,database_cpu_avg,database_cpu_median,database_energy
go-pgx,aggregation-code-side,1656147109,True,20,503,348511,348511,0,144992373.48217055,151883776.0,0.8596128976689016,0.8962994130569307,187877343842.0,337748237.24755245,369537024.0,0.140524648421398,0.16676365146600125,38796910749.0
go-pgx,aggregation-code-side,1656147939,True,20,504,348156,348156,0,139154929.01078582,141688832.0,0.8518597468177953,0.8936655314049586,188665347264.0,337917818.12517387,370954240.0,0.14422508894731914,0.17023609411764706,39600737818.0
go-pgx,aggregation-code-side,1656148762,True,20,508,347566,347566,0,137766908.81493002,143085568.0,0.8583186859962443,0.8948127921875,186946197048.0,337453954.84444445,370905088.0,0.1424962792329607,0.16840741699493045,39471587179.0
go-pgx,aggregation-code-side,1656149586,True,20,504,348469,348469,0,141668211.41965678,145027072.0,0.8626711922908361,0.894481768558952,187651111075.0,339057473.9501385,371628032.0,0.14365141650084565,0.16873069737992097,39665460626.0
go-pgx,aggregation-code-side,1656150410,True,20,504,348404,348404,0,146324691.10153845,144805888.0,0.8534473738675445,0.8922198690663141,188050871357.0,336843028.1348315,369997824.0,0.1395951612496811,0.16727386176795314,40181366012.0
go-pgx,aggregation-code-side,1656151235,True,20,515,346751,346751,0,141216971.51799688,146497536.0,0.8603208230811363,0.8940348376158123,185804702145.0,337229790.0552486,370231296.0,0.14503916610345316,0.17064844950962135,38636298060.0
go-pgx,aggregation-code-side,1656152059,True,20,502,348101,348101,0,132864591.92581144,135131136.0,0.85690873323092,0.8951152663739022,187357457097.0,338985163.38758624,372920320.0,0.1426872900709657,0.1664472991880075,39109831577.0
go-pgx,aggregation-code-side,1656152885,True,20,503,347925,347925,0,138068993.592535,145920000.0,0.8636648899001647,0.8967359811612107,186648237164.0,337363188.9624478,370921472.0,0.14032138838826086,0.1662876516572858,40237618781.0
go-pgx,aggregation-code-side,1656153708,True,20,513,348091,348091,0,130629245.82380216,136818688.0,0.8552836945065062,0.8937910130025125,187488293845.0,337632934.89502764,370264064.0,0.14271722903194106,0.16756546670523376,40015245371.0
go-pgx,aggregation-code-side,1656154530,True,20,503,348406,348406,0,132398279.72755417,136695808.0,0.855840507262658,0.8942082667221485,187216908116.0,339137301.6588072,372817920.0,0.14223890242497378,0.16795801771356783,39555261713.0
go-pgx,default,1655912559,True,20,1220,819840,819840,0,55290692.60130719,55836672.0,0.06652177270427045,0.057327976947897555,34320581100.0,861817222.7550744,963756032.0,0.7257441772351065,0.9411596162445954,81989821267.0
go-pgx,default,1655913409,True,20,1220,819840,819840,0,54318640.23801653,54833152.0,0.06750485426173626,0.05915820243142145,34363657720.0,856374108.9959184,954200064.0,0.7240404615027557,0.9421606536159601,82153234110.0
